302655;MTS Mobility
302660;MTS Mobility
302701;NB Tel Mobility
302703;New Tel Mobility
302760;Public Mobile
302657;Quebectel Mobility
302720;Rogers AT&T Wireless
302654;Sask Tel Mobility
302680;Sask Tel Mobility
302780;Sask Tel Mobility
302656;Tbay Mobility
302220;Telus Mobility
302653;Telus Mobility
302500;Videotron
302490;WIND
62501;CV Movel
62502;T+ Telecom
34650;Digicel Cayman Ltd
34606;Digicel Ltd.
346140;Cable & Wireless
34601;WestTel Ltd
62301;Centrafr. Telecom+
62304;Nationlink
62303;Orange/Celca
62302;Telecel Centraf.
62204;Mobilsotel SA
62202;Tchad Mobile
62203;Moov Africa Tchad SA
62201;Airtel Tchad SA
73006;Blue Two Chile SA
73011;Celupago SA
73015;Cibeles Telecom SA
73003;Claro
73010;Entel Telefonia
73001;Entel Telefonia Mov
73014;Netline Telefonica Movil Ltda
73009;Nextel SA
73005;Nextel SA
73004;Nextel SA
73019;Sociedad Falabella Movil SPA
73002;TELEFONICA
73007;TELEFONICA
73012;Telestar Movil SA
73000;TESAM SA
73013;Tribe Mobile SPA
73008;VTR Banda Ancha SA
46002;China Mobile GSM
46000;China Mobile GSM
46007;China Mobile GSM
46004;China Space Mobile Satellite Telecommunications Co. Ltd (China Spacecom)
46005;China Telecom
46003;China Telecom
46006;China Unicom
46001;China Unicom
460999;Fix Line
732130;Avantel
732102;Movistar
732101;Claro
732666;Claro
73202;Edatel
732187;eTb
732999;Fix Line
732240;Flash Mobile
732220;Libre Tecnologias
73201;Movistar
732123;Movistar
732230;Setroc Mobile
732199;SUMA movil
732103;Tigo
732165;Tigo
732111;Tigo
732142;UNE
73220;UNE
732154;Virgin Mobile
732360;WOM
65401;HURI - SNPT
65402;TELMA TELCO SA
62901;Airtel SA
62902;Azur SA (ETC)
62910;MTN/Libertis
62907;Warid
54801;Telecom Cook Islands Ltd
71203;Claro
712999;Fix Line
712999;Fix Line
71201;ICE
71202;ICE
71204;Movistar
71220;Virtualis
21910;A1 / VIP
219999;Fix Line
21901;T-Mobile
21912;TELE FOCUS
21902;Telemach / Tele2
36801;CubaCel/C-COM
368999;Fix Line
36295;EOCG Wireless NV
362999;Fix Line
36269;Polycom N.V./ Digicel
28010;MTN/Areeba
280999;Fix Line
28020;PrimeTel PLC
28001;Vodafone/CyTa
23008;Compatel s.r.o.
230999;Fix Line
23002;O2
23001;T-Mobile / RadioMobil
23005;Travel Telekommunikation s.r.o.
23004;Ufone
23003;Vodafone
23099;Vodafone
63090;Africell
63086;Orange RDC sarl
63005;SuperCell
63089;TIGO/Oasis
63001;Vodacom
63088;Yozma Timeturns sprl (YTT)
63002;Airtel/ZAIN
23823;Banedanmark
23815;Cibicom Mobility
23888;Cobira
23813;Compatel
23805;
